Slice,Count,Total Area,Average Size,%Area
PAPAYA-B2,6,890.818,148.470,1.481
PAPAYA-B3,3,759.927,253.309,1.263
PAPAYA-C1,3,648.183,216.061,1.078
PAPAYA-C2,1,504.347,504.347,0.839
PAPAYA-C3,10,744.868,74.487,1.238
PEPE-B1,2,347.820,173.910,0.578
PEPE-B2,2,467.779,233.890,0.778
PEPE-B3,2,294.683,147.341,0.490
PEPE-C2,3,1515.248,505.083,2.519
PEPE-C3,3,1072.733,357.578,1.784
PEPE_A1,6,1272.503,212.084,2.116
PEPE_A2,11,974.799,88.618,1.621
PEPE_A3,3,1410.027,470.009,2.344
PEPE_C1,3,791.467,263.822,1.316
