"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"1152";"8_1_15_10";857;109;"BI";"Eribrema oblonga";"Bi ou Eyong"
"1153";"8_1_15_6";261;142;"BA";"Celtis mildbraedii";"Ba"
"1154";"8_1_3_17";123;480;"BA";"Celtis mildbraedii";"Ba"
"1155";"8_1_3_7";170;250;"BA";"Celtis mildbraedii";"Ba"
"1156";"8_1_7_3";248;522;"ABO";"Entandrophragma cylindricum";"Sapelli"
"1157";"8_2_1_3";950;450;"FRO";"Ceiba pentandra";"Fromager"
"1158";"8_2_16_1";298;326;"BA";"Celtis mildbraedii";"Ba"
"1159";"8_2_5_11";152;255;"BA";"Celtis mildbraedii";"Ba"
"1160";"8_2_6_10";199;317;"ABO";"Entandrophragma cylindricum";"Sapelli"
"1161";"8_3_13_11";850;309;"KOT";"Pterygota macrocarpa";"Koto"
"1162";"8_3_6_8";171;315;"EHO";"Ricinodendron africanum";"Eho"
"1163";"8_4_22_5";552;320;"FRO";"Ceiba pentandra";"Fromager"
"1164";"8_4_22_6";291;900;"OUO";"Albizia zygia";"Ouochi"
"1165";"8_4_23_6";303;950;"BA";"Celtis mildbraedii";"Ba"
"1166";"9_1_13_5";856;286;"FRO";"Ceiba pentandra";"Fromager"
"1167";"9_1_6_20";210;259;"LOT";"Sterculia rhinopetala";"Lotofa"
"1168";"9_1_6_4";218;132;"BA";"Celtis mildbraedii";"Ba"
"1169";"9_1_6_5";863;214;"FRO";"Ceiba pentandra";"Fromager"
"1170";"9_1_7_1";207;234;"LON";"Celtis adolphi-frederici";"Lohonfé"
"1171";"9_1_7_2";501;600;"KEK";"Holoptelea grandis";"Kekele"
"1172";"9_1_7_7";901;118;"AKA";"Scottelia sp.";"Akossika"
"1173";"9_2_14_1";232;159;"LOT";"Sterculia rhinopetala";"Lotofa"
"1174";"9_2_24_2";357;600;"AKT";"Gambeya africana";"Akatio"
"1175";"9_2_25_11";701;147;"LOT";"Sterculia rhinopetala";"Lotofa"
"1176";"9_2_5_10";149;113;"AZD";"Afzelia bella";"Azodau"
"1177";"9_3_14_8";902;158;"LOL";"Lannea welwitschii";"Loloti"
"1178";"9_4_15_1";266;295;"BA";"Celtis mildbraedii";"Ba"
"1179";"9_4_15_4";258;700;"AKT";"Gambeya africana";"Akatio"
