"";"IDtree";"former_id";"dbh";"Essence_ID";"NomLatin";"NomVernaculaire"
"239";"13_2_20_10";313;449;"BET";"Mansonia altissima";"Bete"
"240";"13_2_23_10";324;650;"BI";"Eribrema oblonga";"Bi ou Eyong"
"241";"13_2_24_2";333;450;"KOB";"Nesogordonia papaverifera";"Kotibe"
"242";"13_2_24_3";334;377;"BA";"Celtis mildbraedii";"Ba"
"243";"13_2_24_8";336;717;"KOT";"Pterygota macrocarpa";"Koto"
"244";"13_2_25_1";346;472;"BET";"Mansonia altissima";"Bete"
"245";"13_2_25_3";352;346;"BET";"Mansonia altissima";"Bete"
"246";"13_2_25_5";353;622;"FRO";"Ceiba pentandra";"Fromager"
"247";"13_2_25_6";502;288;"EHO";"Ricinodendron africanum";"Eho"
"248";"13_2_6_3";176;900;"SAM";"Triplochiton scleroxylon";"Samba"
"249";"13_2_7_1";167;920;"LOL";"Lannea welwitschii";"Loloti"
"250";"13_2_9_8";200;369;"LOT";"Sterculia rhinopetala";"Lotofa"
"251";"13_3_12_5";187;412;"KOT";"Pterygota macrocarpa";"Koto"
"252";"13_3_16_4";243;383;"BA";"Celtis mildbraedii";"Ba"
"253";"13_3_2_4";116;485;"AKT";"Gambeya africana";"Akatio"
"254";"13_3_24_5";275;770;"AKT";"Gambeya africana";"Akatio"
"255";"13_3_25_4";150;320;"ACA";"Khaya ivorensis , anthotheca";"Acajou blanc"
"256";"13_4_10_1";157;386;"DIF";"Morus mesozygia";"Difou"
"257";"13_4_12_6";252;248;"BA";"Celtis mildbraedii";"Ba"
"258";"13_4_12_7";250;243;"BA";"Celtis mildbraedii";"Ba"
