Vernaculier;ID TRY;ScientificName;Family;Genus;Species;treeID;sampleID;RDMC ;RootAverageLenght ;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness
Lotofa;;Sterculia rhinopetala;Sterculiaceae;Sterculia;rhinopetala;C;2;590,624;3,671;0,006;0.6730000;1,12;236;4,8;0,27;83,21;1,34;995;741,57;0,112201;3;1
Lotofa;;Sterculia rhinopetala;Sterculiaceae;Sterculia;rhinopetala;C;3;554,693;3,097;0,006;0.6730000;0,99;236;6;0,28;91,3;1,38;1020;737,26;0,123833;3;1
Lotofa;;Sterculia rhinopetala;Sterculiaceae;Sterculia;rhinopetala;A;1;625,622;4,646;0,007;0.6730000;1,3;276;5,1;0,25;70,08;0,86;466,7;541,06;0,129522;3;1
Ouara grand; 318129;Cola gigantea;Sterculiaceae;Cola;gigantea;A;2;581,717;5,526;0,009;0.4800000;1,33;1050;12,5;0,69;501,49;18,25;7035;385,59;1,300607;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;A;3;427,22;4,007;0,009;0.4800000;1,1;1050;8,8;0,84;324,76;10,78;4335;402,32;0,80721;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;B;1;347,605;7,357;0,021;0.4800000;0,96;513;9,9;0,73;397,2;15,85;5235;330,39;1,202231;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;B;2;331,283;5,143;0,016;0.4800000;1,29;513;6,9;0,57;207,82;6,89;2433,3;353,17;0,58843;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;B;3;366,804;5,865;0,016;0.4800000;1,53;513;6,4;0,53;198,26;7,04;2386,7;339,18;0,584547;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;C;1;300;2,423;0,008;0.4800000;0,81;199;10,9;0,29;289,02;6,23;2326,7;373,46;0,773886;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;C;2;347,826;2,082;0,006;0.4800000;0,9;199;13,1;0,3;584,61;15,87;5920;372,95;1,567527;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;C;3;282,051;2,193;0,008;0.4800000;0,72;199;17,8;0,31;651,4;16,27;6195;380,76;1,710785;1;2
Ouara grand;;Cola gigantea;Sterculiaceae;Cola;gigantea;A;1;438,866;9,732;0,022;0.4800000;1,36;1050;7,9;0,76;133,37;7,67;2993,3;390,27;0,34175;1;2
Ouossoupalie a fleurs mauves;10716;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;A;2;250;2,536;0,01;0.2890507;1,12;100;15,2;0,24;210,45;3,48;935;269,06;0,782171;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;A;3;375;2,422;0,006;0.2890507;0,61;100;21,2;0,28;325,93;2,74;2012,5;735,16;0,443346;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;B;1;700;2,014;0,003;0.2890507;2,73;215;5,6;0,28;79,52;1,63;702,8;431,8;0,184149;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;B;2;572,727;1,514;0,003;0.2890507;2,23;215;5,2;0,29;69,55;1,73;730,8;423,01;0,164427;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;B;3;450;1,834;0,004;0.2890507;2,06;215;6,1;0,33;119,49;2,88;1160,7;403,01;0,296497;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;C;1;;;;0.2890507;;;;;;;;;;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;C;2;;;;0.2890507;;;;;;;;;;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;C;3;;;;0.2890507;;;;;;;;;;1;1
Ouossoupalie a fleurs mauves;;Erythrina mildbraedii;Papilionaceae;Erythrina;mildbraedii;A;1;222,222;2,465;0,011;0.2890507;1,48;100;14,5;0,27;292,07;5,71;1762,5;308,67;0,946223;1;1
