"";"OldVernacular";"OldScientificName";"Oldgenus";"Oldspecies";"TreeID";"SampleID";"RDMC";"RootAverageLenght";"RSL";"BarkTh";"PetioleL";"LeafThickness";"LeafArea";"FreshWeight";"DryWeight";"LDMC";"SLA";"Dispers";"Deciduousness";"SPAD";"Filled";"Operator";"Rootdryweight";"Rootfreshweight";"RootsArea";"RSA";"field_name";"genus";"species";"MeanDBH";"N";"Roots_length";"meanWD";"sdWD";"levelWD";"nInd";"family"
"320";"Iroko";"Milicia excelsa";"Milicia";"excelsa";"B";"2";373,333333333333;NA;0,168072984693878;0,3;2,8;0,6;12672;3,7;1003;271,08;12,6340977068794;"3";"1";43,2;NA;"Vincyane";392;1,05;798,928;2,03808163265306;"iroko";"Milicia";"excelsa";404,659340659341;91;65,88461;0,57444;0,0708232617216773;"species";25;"Moraceae"
"321";"Iroko";"Milicia excelsa";"Milicia";"excelsa";"B";"3";327,027027027027;NA;0,249134710743802;0,4;3,2;0,6;15283;3,54;1170;330,51;13,0623931623932;"3";"1";38,7;NA;"Vincyane";363;1,11;1274,793;3,51182644628099;"iroko";"Milicia";"excelsa";404,659340659341;91;90,4359;0,57444;0,0708232617216773;"species";25;"Moraceae"
"322";"Iroko";"Milicia excelsa";"Milicia";"excelsa";"C";"1";332,5;NA;0,472431067669173;0,4;5,7;0,3;8937;3,13;992;316,93;9,00907258064516;"3";"1";49;NA;"Vincyane";133;0,4;607,58;4,56827067669173;"iroko";"Milicia";"excelsa";404,659340659341;91;62,833332;0,57444;0,0708232617216773;"species";25;"Moraceae"
"323";"Iroko";"Milicia excelsa";"Milicia";"excelsa";"C";"2";371,052631578947;NA;0,519821773049645;0,56;5,2;0,4;10824;3,52;1125;319,6;9,62133333333333;"3";"1";47,9;NA;"Vincyane";141;0,38;702,779;4,98424822695035;"iroko";"Milicia";"excelsa";404,659340659341;91;73,29487;0,57444;0,0708232617216773;"species";25;"Moraceae"
"324";"Iroko";"Milicia excelsa";"Milicia";"excelsa";"C";"3";350;NA;0,451381948051948;0,64;5,4;0,4;9533;2,58;658;255,04;14,4878419452888;"3";"1";44,2;NA;"Vincyane";154;0,44;663,646;4,30938961038961;"iroko";"Milicia";"excelsa";404,659340659341;91;69,51282;0,57444;0,0708232617216773;"species";25;"Moraceae"
"325";"Difou";"Morus mesozygia";"Morus";"mesozygia";"A";"1";822,5;NA;0,552918723404255;0,46;1,8;0,2;3426;0,65;244;375,38;14,0409836065574;"3";"1";37,3;NA;"Vincyane";329;0,4;1696,523;5,15660486322188;"difou";"Morus";"mesozygia";265,645161290323;62;181,91026;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"326";"Difou";"Morus mesozygia";"Morus";"mesozygia";"A";"2";288,888888888889;NA;0,507199230769231;0,49;2,4;0,2;4829;0,88;312;354,55;15,4775641025641;"3";"1";33,7;NA;"Vincyane";130;0,45;641,527;4,93482307692308;"difou";"Morus";"mesozygia";265,645161290323;62;65,9359;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"327";"Difou";"Morus mesozygia";"Morus";"mesozygia";"A";"3";428,205128205128;NA;0,611469401197605;0,39;2,7;0,2;5186;0,1;291;2910;17,8213058419244;"3";"1";35,3;NA;"Vincyane";167;0,39;902,65;5,40508982035928;"difou";"Morus";"mesozygia";265,645161290323;62;102,11539;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"328";"Difou";"Morus mesozygia";"Morus";"mesozygia";"B";"1";376,595744680851;NA;1,11248734463277;0,5;2,1;0,4;6166;0,14;285;2035,71;21,6350877192982;"3";"1";33,1;NA;"Vincyane";177;0,47;1343,914;7,59273446327684;"difou";"Morus";"mesozygia";265,645161290323;62;196,91026;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"329";"Difou";"Morus mesozygia";"Morus";"mesozygia";"B";"2";346,296296296296;NA;0,943164705882353;0,29;1,9;0,3;6440;0,09;301;3344,44;21,3953488372093;"3";"1";33,8;NA;"Vincyane";187;0,54;1296,372;6,93247058823529;"difou";"Morus";"mesozygia";265,645161290323;62;176,3718;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"330";"Difou";"Morus mesozygia";"Morus";"mesozygia";"B";"3";376,439790575916;NA;0,698263240611961;0,34;2,5;0,3;6286;0,13;322;2476,92;19,5217391304348;"3";"1";29,6;NA;"Vincyane";719;1,91;4330,477;6,02291655076495;"difou";"Morus";"mesozygia";265,645161290323;62;502,05127;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"331";"Difou";"Morus mesozygia";"Morus";"mesozygia";"C";"1";422,413793103448;NA;0,743642040816326;0,58;2;0,4;5742;1,05;386;367,62;14,8756476683938;"3";"1";37,8;NA;"Vincyane";245;0,58;1388,103;5,66572653061225;"difou";"Morus";"mesozygia";265,645161290323;62;182,1923;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"332";"Difou";"Morus mesozygia";"Morus";"mesozygia";"C";"2";373,684210526316;NA;0,785843274647887;0,69;2,2;0,3;6315;1,12;416;371,43;15,1802884615385;"3";"1";39,1;NA;"Vincyane";142;0,38;811,525;5,71496478873239;"difou";"Morus";"mesozygia";265,645161290323;62;111,589745;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"333";"Difou";"Morus mesozygia";"Morus";"mesozygia";"C";"3";419,148936170213;NA;0,440713248730964;0,51;2,4;0,3;7540;1,31;481;367,18;15,6756756756757;"3";"1";35,6;NA;"Vincyane";197;0,47;882,658;4,48049746192893;"difou";"Morus";"mesozygia";265,645161290323;62;86,82051;0,723555555555556;0,0708232617216773;"species";9;"Moraceae"
"334";"Emien";"Alstonia boonei";"Alstonia";"boonei";"A";"1";657,894736842105;NA;3,04328204;0,39;9,5;0,2;64418;15,06;4684;311,02;13,7527754056362;"3";"2";52,4;NA;"Vincyane";125;0,19;5993,395;47,94716;"emien";"Alstonia";"boonei";390,287878787879;66;380,410255;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"335";"Emien";"Alstonia boonei";"Alstonia";"boonei";"A";"2";323,96694214876;NA;0,261937474489796;0,45;11,6;0,2;33774;6,65;2139;321,65;15,7896213183731;"3";"2";50,4;NA;"Vincyane";392;1,21;1905,67;4,86140306122449;"emien";"Alstonia";"boonei";390,287878787879;66;102,67949;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"336";"Emien";"Alstonia boonei";"Alstonia";"boonei";"A";"3";323,699421965318;NA;0,263049464285714;0,45;7,1;0,3;39482;8,88;3025;340,65;13,0519008264463;"3";"2";56,2;NA;"Vincyane";560;1,73;2916,346;5,20776071428571;"emien";"Alstonia";"boonei";390,287878787879;66;147,3077;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"337";"Emien";"Alstonia boonei";"Alstonia";"boonei";"B";"1";275,15923566879;NA;0,107356956018519;0,74;5,2;0,2;25291;7,11;1719;241,77;14,7126236183828;"3";"2";48,9;NA;"Vincyane";1728;6,28;3810,685;2,20525752314815;"emien";"Alstonia";"boonei";390,287878787879;66;185,51282;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"338";"Emien";"Alstonia boonei";"Alstonia";"boonei";"B";"2";271,369863013699;NA;0,235881913175164;0,65;5,3;0,3;16011;4,37;1389;317,85;11,5269978401728;"3";"2";49,4;NA;"Vincyane";1981;7,3;9812,736;4,95342554265522;"emien";"Alstonia";"boonei";390,287878787879;66;467,28207;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"339";"Emien";"Alstonia boonei";"Alstonia";"boonei";"B";"3";630,357142857143;NA;0,204837648725212;0,61;4,1;0,3;31284;6,83;1766;258,57;17,7146092865232;"3";"2";37;NA;"Vincyane";353;0,56;1548,938;4,38792634560907;"emien";"Alstonia";"boonei";390,287878787879;66;72,30769;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"340";"Emien";"Alstonia boonei";"Alstonia";"boonei";"C";"1";370,93023255814;NA;0,463387178683386;0,46;6,7;0,2;16789;2,74;737;268,98;22,7801899592944;"3";"2";47,7;NA;"Vincyane";319;0,86;1752,229;5,49288087774295;"emien";"Alstonia";"boonei";390,287878787879;66;147,82051;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"341";"Emien";"Alstonia boonei";"Alstonia";"boonei";"C";"2";363,934426229508;NA;0,260857004504504;0,58;3,7;0,2;17697;3,39;853;251,62;20,746776084408;"3";"2";48,1;NA;"Vincyane";444;1,22;1645,446;3,70595945945946;"emien";"Alstonia";"boonei";390,287878787879;66;115,82051;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"342";"Emien";"Alstonia boonei";"Alstonia";"boonei";"C";"3";275,757575757576;NA;0,976660073260073;0,58;6,6;0,2;20673;3,82;961;251,57;21,5119667013528;"3";"2";48,1;NA;"Vincyane";273;0,99;2559,663;9,37605494505494;"emien";"Alstonia";"boonei";390,287878787879;66;266,6282;0,3214;0,0708232617216773;"species";5;"Apocynaceae"
"343";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"A";"1";608,333333333333;NA;0,266947654109589;0,31;3,2;0,4;13793;2,14;901;421,03;15,3085460599334;"3";"2";59,2;NA;"Vincyane";292;0,48;808,449;2,76866095890411;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;77,948715;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"344";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"A";"2";515,972222222222;NA;0,125927456258412;0,39;1,7;0,4;5733;0,67;327;488,06;17,5321100917431;"3";"2";58,2;NA;"Vincyane";743;1,44;1566,853;2,10881965006729;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;93,5641;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"345";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"A";"3";479,220779220779;NA;0,241296639566396;0,38;3;0,1;6282;0,85;349;410,59;18;"3";"2";59,4;NA;"Vincyane";369;0,77;1098,022;2,97566937669377;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;89,03846;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"346";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"B";"1";523,076923076923;NA;0,505970343137255;0,43;1,7;0,2;7586;1,54;812;527,27;9,3423645320197;"3";"2";53,8;NA;"Vincyane";204;0,39;653,863;3,20521078431373;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;103,21795;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"347";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"B";"2";310;NA;0,279259709677419;0,35;1,8;0,4;3459;0,52;252;484,62;13,7261904761905;"3";"2";48,6;NA;"Vincyane";124;0,4;284,763;2,29647580645161;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;34,628204;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"348";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"B";"3";618,518518518518;NA;0,471595269461078;0,41;1,5;0,5;9922;1,78;926;520,22;10,7149028077754;"3";"2";51,8;NA;"Vincyane";167;0,27;569,723;3,41151497005988;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;78,75641;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"349";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"C";"1";533,064516129032;NA;0,174502496217852;0,55;2,4;0,5;11357;1,91;808;423,04;14,0556930693069;"3";"2";55;NA;"Vincyane";661;1,24;1519,163;2,29827987897126;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;115,34615;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"350";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"C";"2";490,217391304348;NA;0,45690487804878;0,46;2,5;0,5;11025;1,82;781;429,12;14,1165172855314;"3";"2";60,9;NA;"Vincyane";451;0,92;1662,87;3,68707317073171;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;206,0641;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"351";"Gaouo";"Pseudocinchona pachyceras";"Pseudocinchona";"pachyceras";"C";"3";492,61744966443;NA;0,124205264305177;0,56;2,8;0,5;10582;1,65;674;408,48;15,700296735905;"3";"2";60,9;NA;"Vincyane";734;1,49;1346,924;1,83504632152589;"gaouo";"Corynanthe";"pachyceras";228,741379310345;58;91,166664;0,672333333333333;0,0708232617216773;"species";3;"Rubiaceae"
"352";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"A";"1";615,151515151515;NA;0,720538078817734;0,67;2,9;0,4;15198;3,79;1198;316,09;12,686143572621;"3";"2";53,2;NA;"Vincyane";203;0,33;904,123;4,4538078817734;"dounbourou";"Ficus";"mucuso";374,74358974359;39;146,26923;0,409;0,0708232617216773;"species";2;"Moraceae"
"353";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"A";"2";505,555555555556;NA;0,673823626373626;0,85;2,2;0,4;9122;1,76;442;251,14;20,6380090497738;"3";"2";47,7;NA;"Vincyane";455;0,9;1729,341;3,80074945054945;"dounbourou";"Ficus";"mucuso";374,74358974359;39;306,58975;0,409;0,0708232617216773;"species";2;"Moraceae"
"354";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"A";"3";463,636363636364;NA;0,305990648567119;0,93;2,4;0,3;9607;1,87;533;285,03;18,0243902439024;"3";"2";42,2;NA;"Vincyane";663;1,43;1905,882;2,8746334841629;"dounbourou";"Ficus";"mucuso";374,74358974359;39;202,8718;0,409;0,0708232617216773;"species";2;"Moraceae"
"355";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"B";"1";438,095238095238;NA;0,970122608695652;1;2,5;0,6;7806;2,02;593;293,56;13,1635750421585;"3";"2";51,9;NA;"Vincyane";460;1,05;2772,868;6,02797391304348;"dounbourou";"Ficus";"mucuso";374,74358974359;39;446,2564;0,409;0,0708232617216773;"species";2;"Moraceae"
"356";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"B";"2";579,310344827586;NA;0,799832142857143;0,99;2,3;0,6;6995;1,37;348;254,01;20,1005747126437;"3";"2";45,5;NA;"Vincyane";168;0,29;897,579;5,34273214285714;"dounbourou";"Ficus";"mucuso";374,74358974359;39;134,3718;0,409;0,0708232617216773;"species";2;"Moraceae"
"357";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"B";"3";593,103448275862;NA;1,45982406976744;0,66;3,1;0,6;12767;3,27;1122;343,12;11,3787878787879;"3";"2";53;NA;"Vincyane";172;0,29;1262,915;7,34252906976744;"dounbourou";"Ficus";"mucuso";374,74358974359;39;251,08974;0,409;0,0708232617216773;"species";2;"Moraceae"
"358";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"C";"1";328,151260504202;NA;0,75670576184379;0,61;2,4;0,5;12076;3,1;840;270,97;14,3761904761905;"3";"2";48,4;NA;"Vincyane";781;2,38;5027,989;6,43788604353393;"dounbourou";"Ficus";"mucuso";374,74358974359;39;590,9872;0,409;0,0708232617216773;"species";2;"Moraceae"
"359";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"C";"2";340,072202166065;NA;0,695451549893843;0,67;1,9;0,6;12117;2,96;841;284,12;14,4078478002378;"3";"2";45,4;NA;"Vincyane";942;2,77;5290,846;5,6166093418259;"dounbourou";"Ficus";"mucuso";374,74358974359;39;655,11536;0,409;0,0708232617216773;"species";2;"Moraceae"
"360";"Dounbourou";"Ficus mucuso";"Ficus";"mucuso";"C";"3";361,25;NA;1,18401200692042;0,57;2,2;0,6;13837;3,54;1081;305,37;12,800185013876;"3";"2";46,8;NA;"Vincyane";289;0,8;2219,554;7,68011764705882;"dounbourou";"Ficus";"mucuso";374,74358974359;39;342,17947;0,409;0,0708232617216773;"species";2;"Moraceae"
