;OldVernacular;OldScientificName;Oldgenus;Oldspecies;TreeID;SampleID;RDMC;RootAverageLenght;RSL;BarkTh;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD;Filled;Operator;Rootdryweight;Rootfreshweight;RootsArea;RSA;field_name;genus;species;MeanDBH;N;Roots_length;meanWD;sdWD;levelWD;nInd;family,,,,,,,,,,,,,,,,,,
67;Frake / Limba;Terminalia superba;Terminalia;superba;B;1;285,7142857;1,36;0,008080536;0,76;3,8;0,31;3901;0,85;354;418,44;11,01977401;2;1;52,5;0;Marco;20;0,07;171,171;8,55855;frake_limba;Terminalia;superba;384,6985294;137;0,16161072;0,458948276;0,070823262;species;58;Combretaceae,
68;Frake / Limba;Terminalia superba;Terminalia;superba;B;2;250;2,948;0,005403373;1;4;0,36;5803;1,31;580;441,4;10,00517241;2;1;50,9;0;Marco;100;0,4;716,669;7,16669;frake_limba;Terminalia;superba;384,6985294;137;0,5403373;0,458948276;0,070823262;species;58;Combretaceae,,,,
69;Frake / Limba;Terminalia superba;Terminalia;superba;B;3;218,75;2,655;0,009480583;0,91;3,5;0,32;4067;0,83;354;426,51;11,48870056;2;1;53,1;0;Marco;70;0,32;774,651;11,06644286;frake_limba;Terminalia;superba;384,6985294;137;0,6636408;0,458948276;0,070823262;species;58;Combretaceae,
70;Frake / Limba;Terminalia superba;Terminalia;superba;C;1;413,8809296;4,354;0,003956332;0,6;1;0,35;5210;1,4;508,8;364,3;10,23977987;2;1;55,9;0;Marco;130;0,3141;633,35;4,871923077;frake_limba;Terminalia;superba;384,6985294;137;0,5143232;0,458948276;0,070823262;species;58;Combretaceae,
71;Frake / Limba;Terminalia superba;Terminalia;superba;C;2;474,2885671;5,551;0,002508615;0,6;1,2;0,32;5369;1,24;521,3;419,01;10,29925187;2;1;54,4;0;Marco;190;0,4006;546,544;2,876547368;frake_limba;Terminalia;superba;384,6985294;137;0,47663677;0,458948276;0,070823262;species;58;Combretaceae
72;Frake / Limba;Terminalia superba;Terminalia;superba;C;3;418,6046512;3,258;0,012158572;0,52;1,1;0,33;5502;1,32;548,8;415,64;10,0255102;2;1;52,5;0;Marco;90;0,215;1366,479;15,1831;frake_limba;Terminalia;superba;384,6985294;137;1,0942715;0,458948276;0,070823262;species;58;Combretaceae
73;Fromager;Ceiba pentadra;Ceiba;pentadra;A;2;264,8305085;1,807;0,005694559;2,5;8,7;0,23;12732;2,8;1272,9;454,92;10,00235682;2;1;36,6;0;Marco;100;0,3776;755,328;7,55328;fromager;Ceiba;pentandra;328,7872763;1006;0,56945586;0,305212121;0,070823262;species;33;Malvaceae
74;Fromager;Ceiba pentadra;Ceiba;pentadra;A;3;678,4968685;3,758;0,009514968;2,3;7,7;0,23;9260;2,08;1028,6;495,28;9,002527708;2;1;40,8;0;Marco;130;0,1916;1244,319;9,571684615;fromager;Ceiba;pentandra;328,7872763;1006;1,2369459;0,305212121;0,070823262;species;33;Malvaceae
75;Fromager;Ceiba pentadra;Ceiba;pentadra;B;1;745,1564829;2,79;0,007644069;2,2;13,8;0,21;20825;2,6;1830;703,85;11,37978142;2;1;34;0;Marco;50;0,0671;644,609;12,89218;fromager;Ceiba;pentandra;328,7872763;1006;0,38220346;0,305212121;0,070823262;species;33;Malvaceae,,
76;Fromager;Ceiba pentadra;Ceiba;pentadra;B;2;778,8161994;3,633;0,010308814;1,81;13,5;0,21;18062;2,52;1720;682,54;10,50116279;2;1;44,2;0;Marco;50;0,0642;735,643;14,71286;fromager;Ceiba;pentandra;328,7872763;1006;0,5154407;0,305212121;0,070823262;species;33;Malvaceae,
77;Fromager;Ceiba pentadra;Ceiba;pentadra;B;3;522,6480836;3,875;0,003664473;2,4;14,3;0,22;33917;4,3;3170;737,21;10,69936909;2;1;31,2;0;Marco;90;0,1722;589,678;6,551977778;fromager;Ceiba;pentandra;328,7872763;1006;0,32980257;0,305212121;0,070823262;species;33;Malvaceae,
78;Fromager;Ceiba pentadra;Ceiba;pentadra;C;1;233,9572193;2,388;0,004759893;2,1;10,5;0,24;18324;4,02;1691,4;420,6;10,83362895;2;1;40,6;0;Marco;350;1,496;2605,175;7,443357143;fromager;Ceiba;pentandra;328,7872763;1006;1,6659626;0,305212121;0,070823262;species;33;Malvaceae
